id,nome,rango,intervallo_iniziale,intervallo_finale,eta_massima,eta_minima,longitudine,latitudine,codice_paese,stato_regione,formazione,gruppo_geologico,phylum,classe,ordine,famiglia,genere,origine_dataset,fonte_riempimento_tassonomia
150324,Macroolithus rugustus,species,Maastrichtian,,72.2,66.0,99.926941,43.720554,MN,Ovorhangai,Nemegt,,Chordata,Reptilia,<NA>,Elongatoolithidae,Macroolithus,0,PBDB
150326,Macroolithus rugustus,species,Maastrichtian,,72.2,66.0,84.0047,47.5919,KZ,Aqmola,Tayzhuzgen,,Chordata,Reptilia,<NA>,Elongatoolithidae,Macroolithus,0,PBDB
150327,Paraspheroolithus irenensis,species,Cenomanian,Santonian,100.5,83.6,101.331947,43.938889,MN,Ovorhangai,Baynshire,,Chordata,Ornithischia,<NA>,Spheroolithidae,Paraspheroolithus,0,PBDB
150350,Diplodocus carnegii,species,Kimmeridgian,Tithonian,154.8,143.1,-105.916199,42.152302,US,Wyoming,Morrison,,Chordata,Saurischia,Saurischia,Diplodocidae,Diplodocus,0,dataset_extra_dinosauri
150610,Ornithopoda,suborder,Maastrichtian,,72.2,66.0,36.033333,32.016666,JO,,Phosphorite Unit,Balqa,Chordata,Ornithischia,,,,0,
150847,Patagopteryx deferrariisi,species,Santonian,,85.7,83.6,-68.234169,-38.953888,AR,Neuquén,Bajo de la Carpa,Neuquén,Chordata,Reptilia,<NA>,<NA>,Patagopteryx,0,PBDB
150848,Neuquenornis volans,species,Santonian,,85.7,83.6,-68.234169,-38.953888,AR,Neuquén,Bajo de la Carpa,Neuquén,Chordata,Reptilia,<NA>,Avisauridae,Neuquenornis,0,PBDB
150849,Dilophosaurus wetherilli,species,Sinemurian,Pliensbachian,199.5,184.2,-110.32,36.145279,US,Arizona,Kayenta,Glen Canyon,Chordata,Reptilia,Saurischia,Dilophosauridae,Dilophosaurus,0,dataset_extra_dinosauri
150850,Dilophosaurus wetherilli,species,Sinemurian,Pliensbachian,199.5,184.2,-110.300003,36.099998,US,Arizona,Kayenta,Glen Canyon,Chordata,Reptilia,Saurischia,Dilophosauridae,Dilophosaurus,0,dataset_extra_dinosauri
150851,Graciliceratops mongoliensis,species,Cenomanian,Santonian,100.5,83.6,101.331947,43.938889,MN,Omnogov,Baynshire,,Chordata,Ornithischia,Ornithischia,<NA>,Graciliceratops,0,PBDB
