nome,rango,genere,famiglia,ordine,classe,phylum,origine_dataset,fonte_riempimento_tassonomia
Coelurosaurichnus palyssi,species,Coelurosaurichnus,,,Saurischia,Chordata,0,
Mierasaurus bobyoungi,species,Mierasaurus,,,Saurischia,Chordata,0,
Pelorosaurus conybeari,species,Pelorosaurus,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Mansourasaurus shahinae,species,Mansourasaurus,,,Saurischia,Chordata,0,
Megalosauropus (Eutynichnium) gomesi,species,Eutynichnium,,Saurischia,Reptilia,Chordata,0,dataset_extra_dinosauri
Shuangbaisaurus anlongbaoensis,species,Shuangbaisaurus,,,Reptilia,Chordata,0,
Bagualosaurus agudoensis,species,Bagualosaurus,,,Saurischia,Chordata,0,
Eogranivora edentulata,species,Eogranivora,,,Reptilia,Chordata,0,
Kaijiangosaurus lini,species,Kaijiangosaurus,,,Reptilia,Chordata,0,
Yandusaurus,genus,Yandusaurus,,Ornithischia,Ornithischia,Chordata,0,dataset_extra_dinosauri
Tingmiatornis arctica,species,Tingmiatornis,,,Reptilia,Chordata,0,
Chupkaornis keraorum,species,Chupkaornis,,Hesperornithiformes,Reptilia,Chordata,0,
Lavinipes cheminii,species,Lavinipes,,Saurischia,Saurischia,Chordata,0,dataset_extra_dinosauri
Xingxiulong chengi,species,Xingxiulong,,,Saurischia,Chordata,0,
Pandoravenator fernandezorum,species,Pandoravenator,,,Reptilia,Chordata,0,
Caihong juji,species,Caihong,,,Reptilia,Chordata,0,
Pterygornis dapingfangensis,species,Pterygornis,,,Reptilia,Chordata,0,
Morelladon beltrani,species,Morelladon,,,Ornithischia,Chordata,0,
Zuoyunlong huangi,species,Zuoyunlong,,,Ornithischia,Chordata,0,
Gualicho shinyae,species,Gualicho,,,Reptilia,Chordata,0,
Cruralispennia multidonta,species,Cruralispennia,,,Reptilia,Chordata,0,
Serikornis sungei,species,Serikornis,,,Reptilia,Chordata,0,
Bellulia rectusunguis,species,Bellulia,,,Reptilia,Chordata,0,
Lingwulong shenqi,species,Lingwulong,,,Saurischia,Chordata,0,
Liaoningotitan sinensis,species,Liaoningotitan,,,Saurischia,Chordata,0,
Ledumahadi mafube,species,Ledumahadi,,,Saurischia,Chordata,0,
Erythrovenator jacuiensis,species,Erythrovenator,,,Reptilia,Chordata,0,
